Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
101 S Poplar St,,,"101 S Poplar St, Oxford, OH 45056",False,1965,,https://www.apartments.com/101-s-poplar-st-oxford-oh/qs9jbtx/
311 S Poplar St,,,"311 S Poplar St, Oxford, OH 45056",False,,,https://www.apartments.com/311-s-poplar-st-oxford-oh/pqtdpfr/
2 S Main St,,,"2 S Main St, Oxford, OH 45056",False,2008,13,https://www.apartments.com/2-s-main-st-oxford-oh/ynmcq7r/
Somerset Apartments,,,"306 N Main St, Oxford, OH 45056",False,1970,18,https://www.apartments.com/somerset-apartments-oxford-oh/5zye68q/
25 W High St,,,"25 W High St, Oxford, OH 45056",False,1964,,https://www.apartments.com/25-w-high-st-oxford-oh/m1g0pnj/
Hawks Landing,Capstone Companies,844-298-2350,"5262 Brown Rd, Oxford, OH 45056",False,1994,170,https://www.apartments.com/hawks-landing-oxford-oh/c73wzmd/
The Commons,Capstone Companies,513-766-8426,"610 Oxford Commons, Oxford, OH 45056",True,1986,418,https://www.apartments.com/the-commons-oxford-oh/wmynefl/
Indian Trace I,Miller-Valentine Group,844-310-4868,"5131 Red Cloud Ct, Oxford, OH 45056",False,1998,84,https://www.apartments.com/indian-trace-i-oxford-oh/vyhentd/
Level 27,"The Pierce Company, Inc.",844-830-0101,"3770 Southpointe Pky, Oxford, OH 45056",True,2006,216,https://www.apartments.com/level-27-oxford-oh/msnltvj/
501 N Campus Ave,,812-221-3914,"501 N Campus Ave, Oxford, OH 45056",False,2006,216,https://www.apartments.com/501-n-campus-ave-oxford-oh/77edfwy/
508 N Campus Ave Unit B,,844-370-6568,"508 N Campus Ave, Oxford, OH 45056",True,2006,216,https://www.apartments.com/508-n-campus-ave-oxford-oh-unit-b/z8g0b9y/
15 W Vine St,,513-306-4145,"15 W Vine St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/15-w-vine-st-oxford-oh/hdmzyd3/
937 Silvoor Ln,,,"937 Silvoor Ln, Oxford, OH 45056",False,2006,216,https://www.apartments.com/937-silvoor-ln-oxford-oh/qslqv2x/
5407 Hester Rd Unit 5407,,765-259-3745,"5407 Hester Rd, Oxford, OH 45056",False,2006,216,https://www.apartments.com/5407-hester-rd-oxford-oh-unit-5407/3vbvh5d/
29 W Spring St Unit 29,,,"29 W Spring St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/29-w-spring-st-oxford-oh-unit-29/wdkyn5k/
Chestnut Place,,,"201 E Chestnut St, Oxford, OH 45056",True,1967,44,https://www.apartments.com/chestnut-place-oxford-oh/xr1b9bq/
13 W Chestnut St,,,"13 W Chestnut St, Oxford, OH 45056",False,1967,44,https://www.apartments.com/13-w-chestnut-st-oxford-oh/v6xtwlf/
119 N Campus Ave,,,"119 N Campus Ave, Oxford, OH 45056",False,1948,,https://www.apartments.com/119-n-campus-ave-oxford-oh/y1nm57t/
315 N University Ave,,,"315 N University Ave, Oxford, OH 45056",False,1913,,https://www.apartments.com/315-n-university-ave-oxford-oh/yrdwsjv/
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
101 S Poplar St,,,"101 S Poplar St, Oxford, OH 45056",False,1965,,https://www.apartments.com/101-s-poplar-st-oxford-oh/qs9jbtx/
311 S Poplar St,,,"311 S Poplar St, Oxford, OH 45056",False,,,https://www.apartments.com/311-s-poplar-st-oxford-oh/pqtdpfr/
2 S Main St,,,"2 S Main St, Oxford, OH 45056",False,2008,13,https://www.apartments.com/2-s-main-st-oxford-oh/ynmcq7r/
Somerset Apartments,,,"306 N Main St, Oxford, OH 45056",False,1970,18,https://www.apartments.com/somerset-apartments-oxford-oh/5zye68q/
25 W High St,,,"25 W High St, Oxford, OH 45056",False,1964,,https://www.apartments.com/25-w-high-st-oxford-oh/m1g0pnj/
Hawks Landing,Capstone Companies,844-298-2350,"5262 Brown Rd, Oxford, OH 45056",False,1994,170,https://www.apartments.com/hawks-landing-oxford-oh/c73wzmd/
The Commons,Capstone Companies,513-766-8426,"610 Oxford Commons, Oxford, OH 45056",True,1986,418,https://www.apartments.com/the-commons-oxford-oh/wmynefl/
Indian Trace I,Miller-Valentine Group,844-310-4868,"5131 Red Cloud Ct, Oxford, OH 45056",False,1998,84,https://www.apartments.com/indian-trace-i-oxford-oh/vyhentd/
Level 27,"The Pierce Company, Inc.",844-830-0101,"3770 Southpointe Pky, Oxford, OH 45056",True,2006,216,https://www.apartments.com/level-27-oxford-oh/msnltvj/
501 N Campus Ave,,812-221-3914,"501 N Campus Ave, Oxford, OH 45056",False,2006,216,https://www.apartments.com/501-n-campus-ave-oxford-oh/77edfwy/
508 N Campus Ave Unit B,,844-370-6568,"508 N Campus Ave, Oxford, OH 45056",True,2006,216,https://www.apartments.com/508-n-campus-ave-oxford-oh-unit-b/z8g0b9y/
15 W Vine St,,513-306-4145,"15 W Vine St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/15-w-vine-st-oxford-oh/hdmzyd3/
937 Silvoor Ln,,,"937 Silvoor Ln, Oxford, OH 45056",False,2006,216,https://www.apartments.com/937-silvoor-ln-oxford-oh/qslqv2x/
5407 Hester Rd Unit 5407,,765-259-3745,"5407 Hester Rd, Oxford, OH 45056",False,2006,216,https://www.apartments.com/5407-hester-rd-oxford-oh-unit-5407/3vbvh5d/
29 W Spring St Unit 29,,,"29 W Spring St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/29-w-spring-st-oxford-oh-unit-29/wdkyn5k/
Chestnut Place,,,"201 E Chestnut St, Oxford, OH 45056",True,1967,44,https://www.apartments.com/chestnut-place-oxford-oh/xr1b9bq/
13 W Chestnut St,,,"13 W Chestnut St, Oxford, OH 45056",False,1967,44,https://www.apartments.com/13-w-chestnut-st-oxford-oh/v6xtwlf/
119 N Campus Ave,,,"119 N Campus Ave, Oxford, OH 45056",False,1948,,https://www.apartments.com/119-n-campus-ave-oxford-oh/y1nm57t/
315 N University Ave,,,"315 N University Ave, Oxford, OH 45056",False,1913,,https://www.apartments.com/315-n-university-ave-oxford-oh/yrdwsjv/
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
101 S Poplar St,,,"101 S Poplar St, Oxford, OH 45056",False,1965,,https://www.apartments.com/101-s-poplar-st-oxford-oh/qs9jbtx/
311 S Poplar St,,,"311 S Poplar St, Oxford, OH 45056",False,,,https://www.apartments.com/311-s-poplar-st-oxford-oh/pqtdpfr/
2 S Main St,,,"2 S Main St, Oxford, OH 45056",False,2008,13,https://www.apartments.com/2-s-main-st-oxford-oh/ynmcq7r/
Somerset Apartments,,,"306 N Main St, Oxford, OH 45056",False,1970,18,https://www.apartments.com/somerset-apartments-oxford-oh/5zye68q/
25 W High St,,,"25 W High St, Oxford, OH 45056",False,1964,,https://www.apartments.com/25-w-high-st-oxford-oh/m1g0pnj/
Hawks Landing,Capstone Companies,844-298-2350,"5262 Brown Rd, Oxford, OH 45056",False,1994,170,https://www.apartments.com/hawks-landing-oxford-oh/c73wzmd/
The Commons,Capstone Companies,513-766-8426,"610 Oxford Commons, Oxford, OH 45056",True,1986,418,https://www.apartments.com/the-commons-oxford-oh/wmynefl/
Indian Trace I,Miller-Valentine Group,844-310-4868,"5131 Red Cloud Ct, Oxford, OH 45056",False,1998,84,https://www.apartments.com/indian-trace-i-oxford-oh/vyhentd/
Level 27,"The Pierce Company, Inc.",844-830-0101,"3770 Southpointe Pky, Oxford, OH 45056",True,2006,216,https://www.apartments.com/level-27-oxford-oh/msnltvj/
501 N Campus Ave,,812-221-3914,"501 N Campus Ave, Oxford, OH 45056",False,2006,216,https://www.apartments.com/501-n-campus-ave-oxford-oh/77edfwy/
508 N Campus Ave Unit B,,844-370-6568,"508 N Campus Ave, Oxford, OH 45056",True,2006,216,https://www.apartments.com/508-n-campus-ave-oxford-oh-unit-b/z8g0b9y/
15 W Vine St,,513-306-4145,"15 W Vine St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/15-w-vine-st-oxford-oh/hdmzyd3/
937 Silvoor Ln,,,"937 Silvoor Ln, Oxford, OH 45056",False,2006,216,https://www.apartments.com/937-silvoor-ln-oxford-oh/qslqv2x/
5407 Hester Rd Unit 5407,,765-259-3745,"5407 Hester Rd, Oxford, OH 45056",False,2006,216,https://www.apartments.com/5407-hester-rd-oxford-oh-unit-5407/3vbvh5d/
29 W Spring St Unit 29,,,"29 W Spring St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/29-w-spring-st-oxford-oh-unit-29/wdkyn5k/
Chestnut Place,,,"201 E Chestnut St, Oxford, OH 45056",True,1967,44,https://www.apartments.com/chestnut-place-oxford-oh/xr1b9bq/
13 W Chestnut St,,,"13 W Chestnut St, Oxford, OH 45056",False,1967,44,https://www.apartments.com/13-w-chestnut-st-oxford-oh/v6xtwlf/
119 N Campus Ave,,,"119 N Campus Ave, Oxford, OH 45056",False,1948,,https://www.apartments.com/119-n-campus-ave-oxford-oh/y1nm57t/
315 N University Ave,,,"315 N University Ave, Oxford, OH 45056",False,1913,,https://www.apartments.com/315-n-university-ave-oxford-oh/yrdwsjv/
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
101 S Poplar St,,,"101 S Poplar St, Oxford, OH 45056",False,1965,,https://www.apartments.com/101-s-poplar-st-oxford-oh/qs9jbtx/
311 S Poplar St,,,"311 S Poplar St, Oxford, OH 45056",False,,,https://www.apartments.com/311-s-poplar-st-oxford-oh/pqtdpfr/
2 S Main St,,,"2 S Main St, Oxford, OH 45056",False,2008,13,https://www.apartments.com/2-s-main-st-oxford-oh/ynmcq7r/
Somerset Apartments,,,"306 N Main St, Oxford, OH 45056",False,1970,18,https://www.apartments.com/somerset-apartments-oxford-oh/5zye68q/
25 W High St,,,"25 W High St, Oxford, OH 45056",False,1964,,https://www.apartments.com/25-w-high-st-oxford-oh/m1g0pnj/
Hawks Landing,Capstone Companies,844-298-2350,"5262 Brown Rd, Oxford, OH 45056",False,1994,170,https://www.apartments.com/hawks-landing-oxford-oh/c73wzmd/
The Commons,Capstone Companies,513-766-8426,"610 Oxford Commons, Oxford, OH 45056",True,1986,418,https://www.apartments.com/the-commons-oxford-oh/wmynefl/
Indian Trace I,Miller-Valentine Group,844-310-4868,"5131 Red Cloud Ct, Oxford, OH 45056",False,1998,84,https://www.apartments.com/indian-trace-i-oxford-oh/vyhentd/
Level 27,"The Pierce Company, Inc.",844-830-0101,"3770 Southpointe Pky, Oxford, OH 45056",True,2006,216,https://www.apartments.com/level-27-oxford-oh/msnltvj/
501 N Campus Ave,,812-221-3914,"501 N Campus Ave, Oxford, OH 45056",False,2006,216,https://www.apartments.com/501-n-campus-ave-oxford-oh/77edfwy/
508 N Campus Ave Unit B,,844-370-6568,"508 N Campus Ave, Oxford, OH 45056",True,2006,216,https://www.apartments.com/508-n-campus-ave-oxford-oh-unit-b/z8g0b9y/
15 W Vine St,,513-306-4145,"15 W Vine St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/15-w-vine-st-oxford-oh/hdmzyd3/
937 Silvoor Ln,,,"937 Silvoor Ln, Oxford, OH 45056",False,2006,216,https://www.apartments.com/937-silvoor-ln-oxford-oh/qslqv2x/
5407 Hester Rd Unit 5407,,765-259-3745,"5407 Hester Rd, Oxford, OH 45056",False,2006,216,https://www.apartments.com/5407-hester-rd-oxford-oh-unit-5407/3vbvh5d/
29 W Spring St Unit 29,,,"29 W Spring St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/29-w-spring-st-oxford-oh-unit-29/wdkyn5k/
Chestnut Place,,,"201 E Chestnut St, Oxford, OH 45056",True,1967,44,https://www.apartments.com/chestnut-place-oxford-oh/xr1b9bq/
13 W Chestnut St,,,"13 W Chestnut St, Oxford, OH 45056",False,1967,44,https://www.apartments.com/13-w-chestnut-st-oxford-oh/v6xtwlf/
119 N Campus Ave,,,"119 N Campus Ave, Oxford, OH 45056",False,1948,,https://www.apartments.com/119-n-campus-ave-oxford-oh/y1nm57t/
315 N University Ave,,,"315 N University Ave, Oxford, OH 45056",False,1913,,https://www.apartments.com/315-n-university-ave-oxford-oh/yrdwsjv/
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
101 S Poplar St,,,"101 S Poplar St, Oxford, OH 45056",False,1965,,https://www.apartments.com/101-s-poplar-st-oxford-oh/qs9jbtx/
311 S Poplar St,,,"311 S Poplar St, Oxford, OH 45056",False,,,https://www.apartments.com/311-s-poplar-st-oxford-oh/pqtdpfr/
2 S Main St,,,"2 S Main St, Oxford, OH 45056",False,2008,13,https://www.apartments.com/2-s-main-st-oxford-oh/ynmcq7r/
Somerset Apartments,,,"306 N Main St, Oxford, OH 45056",False,1970,18,https://www.apartments.com/somerset-apartments-oxford-oh/5zye68q/
25 W High St,,,"25 W High St, Oxford, OH 45056",False,1964,,https://www.apartments.com/25-w-high-st-oxford-oh/m1g0pnj/
Hawks Landing,Capstone Companies,844-298-2350,"5262 Brown Rd, Oxford, OH 45056",False,1994,170,https://www.apartments.com/hawks-landing-oxford-oh/c73wzmd/
The Commons,Capstone Companies,513-766-8426,"610 Oxford Commons, Oxford, OH 45056",True,1986,418,https://www.apartments.com/the-commons-oxford-oh/wmynefl/
Indian Trace I,Miller-Valentine Group,844-310-4868,"5131 Red Cloud Ct, Oxford, OH 45056",False,1998,84,https://www.apartments.com/indian-trace-i-oxford-oh/vyhentd/
Level 27,"The Pierce Company, Inc.",844-830-0101,"3770 Southpointe Pky, Oxford, OH 45056",True,2006,216,https://www.apartments.com/level-27-oxford-oh/msnltvj/
501 N Campus Ave,,812-221-3914,"501 N Campus Ave, Oxford, OH 45056",False,2006,216,https://www.apartments.com/501-n-campus-ave-oxford-oh/77edfwy/
508 N Campus Ave Unit B,,844-370-6568,"508 N Campus Ave, Oxford, OH 45056",True,2006,216,https://www.apartments.com/508-n-campus-ave-oxford-oh-unit-b/z8g0b9y/
15 W Vine St,,513-306-4145,"15 W Vine St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/15-w-vine-st-oxford-oh/hdmzyd3/
937 Silvoor Ln,,,"937 Silvoor Ln, Oxford, OH 45056",False,2006,216,https://www.apartments.com/937-silvoor-ln-oxford-oh/qslqv2x/
5407 Hester Rd Unit 5407,,765-259-3745,"5407 Hester Rd, Oxford, OH 45056",False,2006,216,https://www.apartments.com/5407-hester-rd-oxford-oh-unit-5407/3vbvh5d/
29 W Spring St Unit 29,,,"29 W Spring St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/29-w-spring-st-oxford-oh-unit-29/wdkyn5k/
Chestnut Place,,,"201 E Chestnut St, Oxford, OH 45056",True,1967,44,https://www.apartments.com/chestnut-place-oxford-oh/xr1b9bq/
13 W Chestnut St,,,"13 W Chestnut St, Oxford, OH 45056",False,1967,44,https://www.apartments.com/13-w-chestnut-st-oxford-oh/v6xtwlf/
119 N Campus Ave,,,"119 N Campus Ave, Oxford, OH 45056",False,1948,,https://www.apartments.com/119-n-campus-ave-oxford-oh/y1nm57t/
315 N University Ave,,,"315 N University Ave, Oxford, OH 45056",False,1913,,https://www.apartments.com/315-n-university-ave-oxford-oh/yrdwsjv/
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
101 S Poplar St,,,"101 S Poplar St, Oxford, OH 45056",False,1965,,https://www.apartments.com/101-s-poplar-st-oxford-oh/qs9jbtx/
311 S Poplar St,,,"311 S Poplar St, Oxford, OH 45056",False,,,https://www.apartments.com/311-s-poplar-st-oxford-oh/pqtdpfr/
2 S Main St,,,"2 S Main St, Oxford, OH 45056",False,2008,13,https://www.apartments.com/2-s-main-st-oxford-oh/ynmcq7r/
Somerset Apartments,,,"306 N Main St, Oxford, OH 45056",False,1970,18,https://www.apartments.com/somerset-apartments-oxford-oh/5zye68q/
25 W High St,,,"25 W High St, Oxford, OH 45056",False,1964,,https://www.apartments.com/25-w-high-st-oxford-oh/m1g0pnj/
Hawks Landing,Capstone Companies,844-298-2350,"5262 Brown Rd, Oxford, OH 45056",False,1994,170,https://www.apartments.com/hawks-landing-oxford-oh/c73wzmd/
The Commons,Capstone Companies,513-766-8426,"610 Oxford Commons, Oxford, OH 45056",True,1986,418,https://www.apartments.com/the-commons-oxford-oh/wmynefl/
Indian Trace I,Miller-Valentine Group,844-310-4868,"5131 Red Cloud Ct, Oxford, OH 45056",False,1998,84,https://www.apartments.com/indian-trace-i-oxford-oh/vyhentd/
Level 27,"The Pierce Company, Inc.",844-830-0101,"3770 Southpointe Pky, Oxford, OH 45056",True,2006,216,https://www.apartments.com/level-27-oxford-oh/msnltvj/
501 N Campus Ave,,812-221-3914,"501 N Campus Ave, Oxford, OH 45056",False,2006,216,https://www.apartments.com/501-n-campus-ave-oxford-oh/77edfwy/
508 N Campus Ave Unit B,,844-370-6568,"508 N Campus Ave, Oxford, OH 45056",True,2006,216,https://www.apartments.com/508-n-campus-ave-oxford-oh-unit-b/z8g0b9y/
15 W Vine St,,513-306-4145,"15 W Vine St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/15-w-vine-st-oxford-oh/hdmzyd3/
937 Silvoor Ln,,,"937 Silvoor Ln, Oxford, OH 45056",False,2006,216,https://www.apartments.com/937-silvoor-ln-oxford-oh/qslqv2x/
5407 Hester Rd Unit 5407,,765-259-3745,"5407 Hester Rd, Oxford, OH 45056",False,2006,216,https://www.apartments.com/5407-hester-rd-oxford-oh-unit-5407/3vbvh5d/
29 W Spring St Unit 29,,,"29 W Spring St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/29-w-spring-st-oxford-oh-unit-29/wdkyn5k/
Chestnut Place,,,"201 E Chestnut St, Oxford, OH 45056",True,1967,44,https://www.apartments.com/chestnut-place-oxford-oh/xr1b9bq/
13 W Chestnut St,,,"13 W Chestnut St, Oxford, OH 45056",False,1967,44,https://www.apartments.com/13-w-chestnut-st-oxford-oh/v6xtwlf/
119 N Campus Ave,,,"119 N Campus Ave, Oxford, OH 45056",False,1948,,https://www.apartments.com/119-n-campus-ave-oxford-oh/y1nm57t/
315 N University Ave,,,"315 N University Ave, Oxford, OH 45056",False,1913,,https://www.apartments.com/315-n-university-ave-oxford-oh/yrdwsjv/
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
101 S Poplar St,,,"101 S Poplar St, Oxford, OH 45056",False,1965,,https://www.apartments.com/101-s-poplar-st-oxford-oh/qs9jbtx/
311 S Poplar St,,,"311 S Poplar St, Oxford, OH 45056",False,,,https://www.apartments.com/311-s-poplar-st-oxford-oh/pqtdpfr/
2 S Main St,,,"2 S Main St, Oxford, OH 45056",False,2008,13,https://www.apartments.com/2-s-main-st-oxford-oh/ynmcq7r/
Somerset Apartments,,,"306 N Main St, Oxford, OH 45056",False,1970,18,https://www.apartments.com/somerset-apartments-oxford-oh/5zye68q/
25 W High St,,,"25 W High St, Oxford, OH 45056",False,1964,,https://www.apartments.com/25-w-high-st-oxford-oh/m1g0pnj/
Hawks Landing,Capstone Companies,844-298-2350,"5262 Brown Rd, Oxford, OH 45056",False,1994,170,https://www.apartments.com/hawks-landing-oxford-oh/c73wzmd/
The Commons,Capstone Companies,513-766-8426,"610 Oxford Commons, Oxford, OH 45056",True,1986,418,https://www.apartments.com/the-commons-oxford-oh/wmynefl/
Indian Trace I,Miller-Valentine Group,844-310-4868,"5131 Red Cloud Ct, Oxford, OH 45056",False,1998,84,https://www.apartments.com/indian-trace-i-oxford-oh/vyhentd/
Level 27,"The Pierce Company, Inc.",844-830-0101,"3770 Southpointe Pky, Oxford, OH 45056",True,2006,216,https://www.apartments.com/level-27-oxford-oh/msnltvj/
501 N Campus Ave,,812-221-3914,"501 N Campus Ave, Oxford, OH 45056",False,2006,216,https://www.apartments.com/501-n-campus-ave-oxford-oh/77edfwy/
508 N Campus Ave Unit B,,844-370-6568,"508 N Campus Ave, Oxford, OH 45056",True,2006,216,https://www.apartments.com/508-n-campus-ave-oxford-oh-unit-b/z8g0b9y/
15 W Vine St,,513-306-4145,"15 W Vine St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/15-w-vine-st-oxford-oh/hdmzyd3/
937 Silvoor Ln,,,"937 Silvoor Ln, Oxford, OH 45056",False,2006,216,https://www.apartments.com/937-silvoor-ln-oxford-oh/qslqv2x/
5407 Hester Rd Unit 5407,,765-259-3745,"5407 Hester Rd, Oxford, OH 45056",False,2006,216,https://www.apartments.com/5407-hester-rd-oxford-oh-unit-5407/3vbvh5d/
29 W Spring St Unit 29,,,"29 W Spring St, Oxford, OH 45056",False,2006,216,https://www.apartments.com/29-w-spring-st-oxford-oh-unit-29/wdkyn5k/
Chestnut Place,,,"201 E Chestnut St, Oxford, OH 45056",True,1967,44,https://www.apartments.com/chestnut-place-oxford-oh/xr1b9bq/
13 W Chestnut St,,,"13 W Chestnut St, Oxford, OH 45056",False,1967,44,https://www.apartments.com/13-w-chestnut-st-oxford-oh/v6xtwlf/
119 N Campus Ave,,,"119 N Campus Ave, Oxford, OH 45056",False,1948,,https://www.apartments.com/119-n-campus-ave-oxford-oh/y1nm57t/
315 N University Ave,,,"315 N University Ave, Oxford, OH 45056",False,1913,,https://www.apartments.com/315-n-university-ave-oxford-oh/yrdwsjv/
Lang Manor,,,"215 E Sycamore St, Oxford, OH 45056",False,1973,24,https://www.apartments.com/lang-manor-oxford-oh/fg172ls/
Harbor House Apartments,,,"124 E Sycamore St, Oxford, OH 45056",False,1973,18,https://www.apartments.com/harbor-house-apartments-oxford-oh/rw51q50/
16 S Poplar St,,,"16 S Poplar St, Oxford, OH 45056",False,2015,,https://www.apartments.com/16-s-poplar-st-oxford-oh/vlnscpd/
510-512 N Campus Ave,,,"510-512 N Campus Ave, Oxford, OH 45056",False,1981,,https://www.apartments.com/510-512-n-campus-ave-oxford-oh/llr76ff/
103 E Spring St,,,"103 E Spring St, Oxford, OH 45056",False,1965,,https://www.apartments.com/103-e-spring-st-oxford-oh/87s37m3/
107 E Spring St,,,"107 E Spring St, Oxford, OH 45056",False,1960,14,https://www.apartments.com/107-e-spring-st-oxford-oh/39jn1md/
